iter	Passed	Remaining
0	5	5288
1	8	4459
2	14	4868
3	21	5299
4	25	5018
5	28	4745
6	32	4646
7	37	4669
8	42	4682
9	45	4507
10	49	4476
11	55	4545
12	59	4520
13	64	4521
14	68	4528
15	72	4455
16	75	4394
17	80	4391
18	85	4423
19	91	4462
20	96	4500
21	99	4442
22	103	4396
23	108	4422
24	113	4415
25	117	4393
26	120	4354
27	124	4324
28	129	4334
29	133	4322
30	137	4299
31	140	4263
32	144	4233
33	148	4207
34	151	4180
35	155	4157
36	158	4132
37	162	4104
38	165	4084
39	169	4070
40	173	4049
41	176	4018
42	179	3994
43	182	3967
44	185	3947
45	189	3923
46	192	3901
47	195	3884
48	199	3868
49	202	3852
50	205	3832
51	209	3816
52	212	3805
53	216	3790
54	219	3775
55	222	3758
56	226	3746
57	229	3735
58	233	3719
59	236	3700
60	239	3689
61	243	3682
62	246	3669
63	249	3652
64	253	3643
65	256	3634
66	260	3622
67	263	3610
68	266	3596
69	271	3612
70	276	3612
71	279	3602
72	282	3591
73	286	3581
74	290	3579
75	293	3573
76	297	3564
77	300	3557
78	305	3561
79	309	3559
80	313	3554
81	317	3554
82	321	3549
83	324	3539
84	328	3533
85	331	3527
86	335	3518
87	338	3510
88	342	3505
89	345	3496
90	349	3493
91	353	3485
92	356	3477
93	359	3469
94	363	3460
95	367	3461
96	370	3450
97	374	3443
98	377	3435
99	380	3427
100	384	3419
101	388	3419
102	392	3421
103	397	3423
104	401	3420
105	405	3417
106	410	3426
107	414	3421
108	418	3422
109	423	3426
110	426	3419
111	431	3419
112	435	3419
113	438	3408
114	440	3392
115	443	3380
116	446	3367
117	448	3350
118	451	3340
119	453	3322
120	453	3296
121	455	3274
122	456	3254
123	457	3235
124	459	3217
125	461	3204
126	463	3186
127	465	3167
128	470	3177
129	477	3193
130	481	3195
131	487	3202
132	491	3205
133	496	3207
134	503	3224
135	507	3227
136	512	3231
137	517	3234
138	522	3238
139	527	3239
140	531	3239
141	537	3246
142	541	3246
143	546	3247
144	550	3247
145	555	3247
146	560	3249
147	565	3253
148	569	3252
149	573	3249
150	578	3250
151	582	3249
152	588	3256
153	593	3260
154	601	3276
155	606	3280
156	610	3280
157	615	3280
158	620	3280
159	625	3286
160	631	3290
161	636	3293
162	641	3293
163	646	3293
164	650	3292
165	655	3292
166	659	3290
167	664	3292
168	669	3293
169	673	3289
170	677	3286
171	682	3287
172	687	3284
173	691	3282
174	695	3280
175	699	3277
176	704	3274
177	709	3275
178	714	3275
179	718	3273
180	723	3272
181	728	3272
182	732	3270
183	737	3268
184	741	3265
185	745	3263
186	749	3260
187	754	3260
188	759	3259
189	764	3259
190	772	3270
191	777	3272
192	783	3275
193	789	3280
194	794	3279
195	799	3278
196	803	3275
197	809	3278
198	814	3279
199	819	3277
200	823	3271
201	826	3264
202	828	3253
203	831	3243
204	833	3231
205	835	3219
206	837	3207
207	839	3195
208	840	3182
209	842	3169
210	843	3155
211	845	3143
212	847	3131
213	849	3118
214	850	3105
215	852	3092
216	853	3081
217	855	3068
218	857	3056
219	858	3044
220	860	3032
221	861	3020
222	863	3008
223	864	2995
224	866	2984
225	867	2972
226	869	2961
227	871	2949
228	872	2937
229	874	2926
230	876	2917
231	877	2905
232	879	2895
233	881	2884
234	882	2873
235	884	2864
236	886	2854
237	888	2844
238	889	2833
239	891	2823
240	893	2813
241	895	2803
242	897	2796
243	899	2786
244	900	2776
245	902	2766
246	904	2756
247	905	2747
248	907	2736
249	909	2727
250	910	2717
251	912	2709
252	914	2701
253	916	2691
254	918	2682
255	919	2672
256	921	2663
257	923	2654
258	924	2645
259	926	2636
260	928	2628
261	929	2619
262	931	2611
263	933	2602
264	934	2593
265	936	2584
266	938	2575
267	939	2565
268	940	2556
269	942	2548
270	944	2540
271	945	2531
272	947	2522
273	948	2514
274	951	2507
275	952	2499
276	954	2491
277	956	2483
278	958	2475
279	959	2468
280	961	2460
281	963	2453
282	965	2445
283	967	2438
284	968	2430
285	971	2424
286	973	2417
287	975	2411
288	977	2404
